Station,Latitude,Longitude
53,71.424362,-151.016834
54,71.378534,-151.04518
55,71.33346,-151.072674
55,71.33347,-151.072641
56,71.310499,-151.087392
56,71.310503,-151.087367
57,71.288045,-151.100647
58,71.242683,-151.128665
58,71.242682,-151.128666
59,71.197486,-151.156016
59,71.197232,-151.156048
60,71.152557,-151.183143
60,71.152494,-151.183079
61,71.107186,-151.212385
61,71.107178,-151.212392
62,71.061359,-151.241079
62,71.061357,-151.241072
NaN,71.03461,-150.837099
64,71.284583,-150.609277
63,71.260664,-150.693951
NaN,71.249278,-150.700178
62,71.0633,-151.248575
62,71.060378,-151.238882
60,71.152397,-151.202622
60,71.152209,-151.184261
60,71.153769,-151.194145
60,71.153352,-151.183514
64,71.288571,-150.624558
64,71.283032,-150.609714
64,71.309413,-150.759917
64,71.279986,-150.591171
39,71.33759,-151.078993
62,71.061292,-151.241238
62,71.065287,-151.252998
72,71.42712,-151.03837
72,71.426434,-151.012101
72,71.425649,-151.040936
72,71.425179,-151.00293
64,71.284583,-150.609296
65,71.215091,-150.720502
65,71.215444,-150.72085
63,71.260481,-150.692812
66,71.282561,-150.677101
66,71.282561,-150.677101
67,71.30547,-150.664201
67,71.305474,-150.664211
68,71.351136,-150.634454
68,71.351128,-150.634468
69,71.396311,-150.605822
69,71.396315,-150.605827
70,71.438668,-150.576548
70,71.438651,-150.576572
71,71.469339,-150.987744
71,71.46934,-150.987749
72,71.424874,-151.015371
72,71.424783,-151.015432
73,71.379043,-151.043829
73,71.379236,-151.04404
NaN,71.390206,-151.10024
74,71.406778,-151.130892
74,71.407351,-151.130587
74,71.410446,-151.155985
74,71.40978,-151.139252
74,71.409569,-151.128186
74,71.40933,-151.119192
75,71.333581,-151.074327
75,71.33357,-151.074338
74,71.416139,-151.197548
76,71.31055,-151.086306
76,71.310548,-151.086318
74,71.39407,-151.031651
77,71.287177,-151.100061
77,71.287272,-151.100271
78,71.242525,-151.128688
78,71.242528,-151.12867
80,71.150178,-151.196851
80,71.151421,-151.18785
80,71.152102,-151.182901
80,71.1527,-151.178462
80,71.14946,-151.200694
80,71.151617,-151.188452
75,71.334022,-151.07599
75,71.33358,-151.074322
78,71.238972,-151.148474
78,71.241381,-151.135439
82,71.062116,-151.269672
82,71.060359,-151.256052
75,71.334141,-151.099907
75,71.33403,-151.091127
75,71.334005,-151.086428
75,71.334018,-151.081112
78,71.240312,-151.142441
78,71.241371,-151.136606
78,71.242409,-151.130976
78,71.243106,-151.127159
82,71.06307,-151.267855
82,71.063115,-151.260639
79,71.197368,-151.15549
79,71.197397,-151.155538
80,71.15233,-151.184311
80,71.152325,-151.184269
81,71.10682,-151.214225
81,71.106817,-151.214217
82,71.061707,-151.241024
82,71.061699,-151.241028
2,71.245336,-150.553491
83,71.278314,-150.450401
83,71.27627,-150.432468
83,71.275196,-150.422874
83,71.274568,-150.41689
83,71.286132,-150.482445
83,71.277155,-150.429898
83,71.266566,-150.356658
83,71.259809,-150.315269
83,71.305035,-150.545062
83,71.294195,-150.490702
83,71.27838,-150.416209
83,71.269691,-150.373273
86,71.273457,-150.264151
87,71.228909,-150.308801
87,71.229131,-150.293175
86,71.27538,-150.281745
86,71.274263,-150.270437
86,71.272868,-150.259679
86,71.276034,-150.286117
86,71.274417,-150.269408
83,71.275605,-150.427206
83,71.275607,-150.427201
84,71.363006,-150.195453
84,71.363009,-150.195468
85,71.318325,-150.224856
85,71.318323,-150.224849
86,71.273489,-150.25438
86,71.273496,-150.254316
87,71.228099,-150.284577
87,71.228083,-150.284581
88,71.205613,-150.299399
88,71.205615,-150.299385
89,71.182873,-150.313167
89,71.182867,-150.31313
90,71.137819,-150.342798
90,71.137812,-150.342791
91,71.092672,-150.373671
91,71.092668,-150.373661
89,71.186024,-150.341104
89,71.185853,-150.325654
89,71.184874,-150.340956
89,71.184001,-150.320124
93,71.002595,-150.433404
93,71.002597,-150.433386
91,71.094952,-150.397954
91,71.093731,-150.373439
91,71.094594,-150.398258
93,71.0022,-150.441798
93,71.003661,-150.433138
93,71.001466,-150.441372
93,71.003134,-150.426916
NaN,70.996663,-150.30815
22,71.324277,-150.297215
22,71.327132,-150.275678
22,71.328819,-150.260234
24,71.229905,-150.269217
24,71.231364,-150.258281
94,70.973009,-150.029097
94,70.97291,-150.029081
26,71.138857,-150.364708
26,71.139185,-150.36164
95,71.017803,-149.998924
95,71.017906,-149.998942
37,71.431247,-150.985749
37,71.431861,-150.971276
42,71.242101,-151.156055
96,71.063746,-149.969055
96,71.063718,-149.969096
42,71.241499,-151.161651
51,71.301785,-150.685347
51,71.301961,-150.673124
97,71.108963,-149.937468
97,71.10893,-149.937238
1,71.761361,-153.375029
1,71.763038,-153.369301
98,71.153019,-149.9086
98,71.153286,-149.908828
NaN,71.08687,-151.656642
NaN,71.133056,-151.636494
,71.184122,-150.31369
,71.307833,-150.236607
NaN,71.242276,-149.843615
53,71.424106,-151.034713
53,71.424016,-151.02757
55,71.334235,-151.089837
55,71.333889,-151.086001
58,71.243543,-151.144739
58,71.243185,-151.141658
64,71.285566,-150.617287
64,71.283958,-150.6124
72,71.425353,-151.019348
72,71.425173,-151.009723
87,71.228815,-150.301071
87,71.228934,-150.296496
89,71.184492,-150.334196
89,71.184242,-150.326591
99,71.175459,-149.8923
99,71.175772,-149.892593
100,71.197405,-149.876674
100,71.198028,-149.877387
101,71.242549,-149.843874
101,71.243707,-149.844983
102,71.287438,-149.815423
102,71.287698,-149.815875
103,71.333029,-149.782703
103,71.333612,-149.785734
104,71.378026,-149.753225
104,71.379983,-149.757513
105,71.346065,-149.335305
105,71.350521,-149.342637
106,71.299982,-149.368719
106,71.303369,-149.372852
107,71.2566,-149.401706
107,71.257618,-149.402906
NaN,71.25924,-149.403869
NaN,71.257131,-149.38041
108,71.210919,-149.431264
